epoch,train_loss,val_loss
1.0,0.15382208094816904,0.04738594964146614
2.0,0.043634282587507914,0.033290207386016846
3.0,0.035735149824383534,0.03019559755921364
4.0,0.03360064609947239,0.030544955283403397
5.0,0.032563500423702214,0.028989611193537712
6.0,0.031823649394191786,0.02815517596900463
7.0,0.03572421339406626,0.030598415061831474
8.0,0.03127611770236045,0.02784103900194168
9.0,0.030581459420039855,0.026775579899549484
10.0,0.030205498543958997,0.027083564549684525
11.0,0.030075814584402356,0.02685682103037834
12.0,0.029755171509289597,0.027075624093413353
13.0,0.029259187027691102,0.02630658634006977
14.0,0.036583921775735655,0.040491729974746704
15.0,0.035598594158827414,0.02939659357070923
16.0,0.03146500437771694,0.02830180712044239
17.0,0.030522275113445872,0.027446027845144272
18.0,0.03213699277618836,0.02719993144273758
19.0,0.029762041358311207,0.026410963386297226
20.0,0.029830599351054997,0.02641257457435131
21.0,0.02915998323278362,0.026898479089140892
22.0,0.028994707388776915,0.026197046041488647
23.0,0.02885326087988656,0.026097314432263374
24.0,0.028662280026543696,0.02603084221482277
25.0,0.02855598134636637,0.026023484766483307
26.0,0.028402610884083936,0.025620289146900177
27.0,0.02827299055671716,0.025668058544397354
28.0,0.02816421486830252,0.02542579546570778
29.0,0.027997520070288776,0.02552644908428192
30.0,0.02805266650412496,0.026025189086794853
31.0,0.029596063013719375,0.02579645626246929
32.0,0.028140048037375687,0.025790298357605934
33.0,0.02798701136261527,0.025354089215397835
34.0,0.027736403890573712,0.025328757241368294
35.0,0.02754254204279632,0.025310657918453217
36.0,0.0275153725844398,0.02518228441476822
37.0,0.027450008808992215,0.025273345410823822
38.0,0.02733226514536638,0.025411058217287064
39.0,0.02874085165061525,0.026165753602981567
40.0,0.027903582128123747,0.025270290672779083
41.0,0.027349923882807246,0.025037962943315506
42.0,0.027202737287185617,0.02508973516523838
43.0,0.027066865021600925,0.025004107505083084
44.0,0.026950826186452507,0.02511335350573063
45.0,0.026860828405627736,0.024891484528779984
46.0,0.02679383642140315,0.024915989488363266
47.0,0.026626238268828418,0.024819763377308846
48.0,0.026577308469850562,0.02478502131998539
49.0,0.0265197954905686,0.024812765419483185
50.0,0.0264674965632252,0.024779990315437317
