2026-05-16 18:42:38 [warning  ] predict_skip_nan               crop_len=49 flight_id=406e65_EZY31AJ_s0 nan_rows=49
2026-05-16 18:42:56 [warning  ] predict_skip_nan               crop_len=88 flight_id=406e65_EZY32XR_s2 nan_rows=88
2026-05-16 18:44:51 [warning  ] predict_skip_nan               crop_len=38 flight_id=406e65_EZY68HY_s0 nan_rows=38
2026-05-16 18:45:01 [warning  ] predict_skip_nan               crop_len=117 flight_id=406e65_EZY68HY_s2 nan_rows=117
2026-05-16 18:52:50 [warning  ] predict_skip_nan               crop_len=65 flight_id=4071d9_NOCALL_s1 nan_rows=65
2026-05-16 18:52:50 [warning  ] predict_skip_nan               crop_len=6 flight_id=4071d9_NOCALL_s8 nan_rows=6
2026-05-16 18:55:50 [warning  ] predict_skip_nan               crop_len=238 flight_id=4b15ed_EDW299_s2 nan_rows=238
2026-05-16 18:56:13 [warning  ] predict_skip_nan               crop_len=1 flight_id=4b15ed_EDW29Y_s1 nan_rows=1
2026-05-16 18:56:26 [warning  ] predict_skip_nan               crop_len=142 flight_id=4b15ed_EDW332_s1 nan_rows=142
2026-05-16 18:56:26 [warning  ] predict_skip_nan               crop_len=31 flight_id=4b15ed_EDW332_s2 nan_rows=31
2026-05-16 18:56:58 [warning  ] predict_skip_nan               crop_len=118 flight_id=4b15ed_EDW49Q_s0 nan_rows=118
2026-05-16 18:57:21 [warning  ] predict_skip_nan               crop_len=70 flight_id=4b15ed_NOCALL_s17 nan_rows=70
2026-05-16 18:57:42 [warning  ] predict_skip_nan               crop_len=15 flight_id=4b1614_NOCALL_s5 nan_rows=15
2026-05-16 18:58:18 [warning  ] predict_skip_nan               crop_len=33 flight_id=4b1614_SWR357K_s0 nan_rows=33
2026-05-16 19:00:57 [warning  ] predict_skip_nan               crop_len=32 flight_id=4ca217_EIN55G_s1 nan_rows=32
2026-05-16 19:00:57 [warning  ] predict_skip_nan               crop_len=77 flight_id=4ca217_EIN55G_s2 nan_rows=77
2026-05-16 19:00:57 [warning  ] predict_skip_nan               crop_len=78 flight_id=4ca217_EIN56V_s0 nan_rows=78
2026-05-16 19:03:43 [warning  ] predict_skip_nan               crop_len=76 flight_id=4ca217_EIN680_s0 nan_rows=76
2026-05-16 19:05:25 [warning  ] predict_skip_nan               crop_len=75 flight_id=4ca217_NOCALL_s13 nan_rows=75
2026-05-16 19:05:25 [warning  ] predict_skip_nan               crop_len=1 flight_id=4ca217_NOCALL_s3 nan_rows=1
2026-05-16 19:07:05 [warning  ] predict_skip_nan               crop_len=60 flight_id=4ca5c8_EIN52V_s0 nan_rows=60
2026-05-16 19:07:36 [warning  ] predict_skip_nan               crop_len=36 flight_id=4ca5c8_EIN5KM_s1 nan_rows=36
2026-05-16 19:08:18 [warning  ] predict_skip_nan               crop_len=80 flight_id=4ca5c8_EIN65W_s2 nan_rows=80
2026-05-16 19:08:41 [warning  ] predict_skip_nan               crop_len=1 flight_id=4ca5c8_EIN65Y_s1 nan_rows=1
2026-05-16 19:09:03 [warning  ] predict_skip_nan               crop_len=86 flight_id=4ca5c8_EIN67H_s0 nan_rows=86
