epoch,train_loss,val_loss
1.0,nan,0.03287303075194359
2.0,nan,0.02819255366921425
3.0,nan,0.026150718331336975
4.0,nan,0.02617683634161949
5.0,nan,0.02485194243490696
6.0,nan,0.024769671261310577
7.0,nan,0.0238800086081028
8.0,nan,0.023883700370788574
9.0,nan,0.02372599206864834
10.0,nan,0.023439183831214905
11.0,nan,0.02664719708263874
12.0,nan,0.02462189644575119
13.0,nan,0.023996319621801376
14.0,nan,0.0241457000374794
15.0,nan,0.02359674870967865
16.0,nan,0.023525618016719818
17.0,nan,0.023218711838126183
18.0,nan,0.026757266372442245
19.0,nan,0.13454484939575195
20.0,nan,0.6048743724822998
21.0,nan,0.9117599129676819
22.0,nan,0.04998580738902092
23.0,nan,0.03441615775227547
24.0,nan,0.02844603732228279
25.0,nan,0.02603529393672943
26.0,nan,0.03330596536397934
27.0,nan,0.025048818439245224
28.0,nan,0.024238888174295425
29.0,nan,0.023835554718971252
30.0,nan,0.02449677884578705
31.0,nan,0.023744739592075348
32.0,nan,0.02363172359764576
33.0,nan,0.023348428308963776
34.0,nan,0.023172732442617416
35.0,nan,0.02307644672691822
36.0,nan,0.02293494902551174
37.0,nan,0.022822383791208267
38.0,nan,0.0236425269395113
39.0,nan,0.0232421662658453
40.0,nan,0.022885644808411598
41.0,nan,0.022887540981173515
42.0,nan,0.022702572867274284
43.0,nan,0.022806594148278236
44.0,nan,0.022548014298081398
45.0,nan,0.02246413752436638
46.0,nan,0.022594857960939407
47.0,nan,0.022431008517742157
48.0,nan,0.022450599819421768
49.0,nan,0.022530604153871536
50.0,nan,0.022417180240154266
