epoch,train_loss,val_loss
1.0,0.21144869311946154,0.06523223966360092
2.0,0.05345805055531096,0.0391332171857357
3.0,0.04006601682256076,0.03413625806570053
4.0,0.03658919898439045,0.03162062168121338
5.0,0.03547098005277723,0.03139535337686539
6.0,0.034384084470344314,0.02994312345981598
7.0,0.033793847156129264,0.03025376796722412
8.0,0.033350913654551034,0.029604965820908546
9.0,0.03286457688293674,0.030318956822156906
10.0,0.032307972777480924,0.02910376898944378
11.0,0.033477545738959114,0.029001008719205856
12.0,0.03210821691849179,0.02861323580145836
13.0,0.03158194978641905,0.029049577191472054
14.0,0.031981210021645896,0.029872426763176918
15.0,0.0316894858018508,0.028576023876667023
16.0,0.03219246157745192,0.03852488100528717
17.0,0.03217602060137948,0.028378494083881378
18.0,0.0324666218950154,0.029244372621178627
19.0,0.030956814937888755,0.02822784334421158
20.0,0.030747093811898028,0.027990367263555527
21.0,0.030670255686851736,0.028734635561704636
22.0,0.030554782352910554,0.027641916647553444
23.0,0.03006039521356752,0.027837850153446198
24.0,0.029953270681079263,0.027887165546417236
25.0,0.03016334214855817,0.027413595467805862
26.0,0.8464263186125551,2.567631721496582
27.0,2.612325464726808,2.5770468711853027
28.0,2.7327409210940696,2.6943774223327637
29.0,2.6347103834809023,2.7368061542510986
30.0,2.7079277432654516,2.657101631164551
31.0,2.7636069318808145,2.8551316261291504
32.0,2.795421430230469,2.7206199169158936
33.0,2.71802340854298,2.6938016414642334
34.0,2.7149596910502956,2.743765115737915
35.0,2.7179278421007895,2.7339820861816406
36.0,2.7196385578018902,2.6739706993103027
37.0,2.679779136804838,2.7581896781921387
38.0,2.706874814572085,2.7242231369018555
39.0,2.6940463429968546,2.6718649864196777
40.0,2.677517759570077,2.6676859855651855
41.0,2.6941233154170767,2.6941895484924316
42.0,2.6913970666155014,2.791726589202881
43.0,2.7984180148311224,2.815490245819092
44.0,2.815197894724276,2.826674222946167
45.0,2.814047187484657,2.8247599601745605
46.0,2.813271126471275,2.8278679847717285
47.0,2.8219408522624287,2.8323917388916016
48.0,2.8192602635743533,2.8130831718444824
49.0,2.8116475110540047,2.8236443996429443
50.0,2.8140702444659778,2.821913719177246
