channel,admissible,algo,butter,knobs,coverage_pct,worst_segment_error,budget,budget_used_pct,worst_drift,drift_over_budget,segments_per_flight,median_duration_s,n_admissible,closest_worst_error,closest_factor
alt,true,bilateral,0,"sigma_r=5,sigma_s=20,slope_tol=3.63424",62.09761307799052,7.381875000000071,7.62,96.87500000000094,22.860000000000582,3.0000000000000764,4.152683295540438,204.0,260,,
vz,true,bilateral,0,"sigma_r=50,sigma_s=4,slope_tol=21.9382",4.929937139863803,62.52352068855225,64.0,97.6930010758629,163.55555555555554,2.5555555555555554,4.2613240418118465,40.0,257,,
gamma,true,bilateral,0,"sigma_r=0.002,sigma_s=4,slope_tol=0.000144225",6.917206303326756,0.0013667673538291052,0.001428771202657741,95.66033744848029,0.0038176537718303816,2.671983985069786,3.7053682896379527,60.0,347,,
cas,true,bilateral,0,"sigma_r=1.5,sigma_s=8,slope_tol=0.353439",32.420149123946345,2.4946440550892204,2.57274172158417,96.9644187039941,6.455888624604938,2.509341909622282,14.000876424189308,48.0,553,,
mach,true,bilateral,0,"sigma_r=0.0025,sigma_s=8,slope_tol=0.000316228",52.798158076301625,0.004681006812825797,0.006672455577101363,70.15418474856766,0.01253752147953724,1.8789966204591455,7.449848024316109,152.0,581,,
